,0,0,0,0,1,2,3,0
39,Si:42.0 Mo:35.2 Pb:22.9,Ceramic method,,1048.0,1.65532540870752,1.0130000114440918,0.38,0.7851242812257144
40,Al:39.7 Si:33.4 C:27.0,Ceramic method,,1024.9788432673013,1.3009558289183079,2.987651507336349,4.6260498110264505,0.7849780213619441
41,Re:48.4 Si:26.9 Ge:24.6,Ceramic method,,1040.8944380839596,1.0037669936461249,1.0,0.25,0.7844310747719843
42,Ru:57.4 Sc:28.2 Ca:8.1 As:3.4 Co:2.7 Ge:0.2,Physical mixing,,1023.15,1.4655471194700975,3.3891385006263564,0.026265849798737927,0.7836179621345689
43,Re:50.2 Dy:26.4 Ge:23.4,Ceramic method,,1046.9965574777048,1.0709674043090642,2.1348246744599524,0.06,0.778588833551527
44,B:87.5 Ca:12.5,Ceramic method,Promotor_Cl,1023.0,1.6081988114490604,0.3954823069393133,1.158382142100488,0.7763556626513448
45,Si:59.7 Ge:24.1 C:16.2,Ceramic method,,1023.0,0.8994823368611079,2.8252743197454726,1.3428909058263478,0.7762933974027181
46,Si:48.7 Ge:25.8 C:25.6,Ceramic method,,1024.1873782784367,0.566098369235951,1.0130000114440918,1.5354588354170542,0.7726856031074714
47,Re:42.7 Sc:31.4 Ge:25.9,Ceramic method,,1053.15,2.0,0.9439379381749752,0.027152515680577808,0.7717044852790358
48,Si:44.9 Li:32.1 C:23.0,Ceramic method,,1043.8008730940162,0.6353964010136144,3.5067274564206232,2.691923476607013,0.768624169650266
49,Re:54.1 Si:24.5 Ge:21.3,Ceramic method,,1048.0,1.3046696182038315,1.8099893034731784,0.18,0.7673423466327765
50,Mo:49.2 Nb:30.4 Ge:20.4,Ceramic method,,1053.0,1.728135877149058,1.0,1.2996201379670749,0.7558346495177481
51,C:56.2 I:22.2 Ge:21.6,Ceramic method,,1049.9679911147527,2.0,4.6793205989584985,0.36,0.7529971403150637
52,Ir:53.0 Al:19.9 Si:10.5 Ge:9.3 Sc:7.3,Physical mixing,,1023.0,1.0346584320713264,1.1669088843367843,0.01182,0.7482806937543205
53,C:35.4 B:21.0 Ge:15.9 K:14.3 V:13.3,Physical mixing,,1018.6244579874873,0.9691032299225868,1.0,0.07200000000000001,0.7468780443207708
54,C:46.6 Cr:27.7 Be:12.8 Sc:8.1 Co:3.6 Ge:1.2,Physical mixing,,1023.0,1.6,1.01,0.0006887000000000001,0.7314937463123609
55,Ca:56.3 C:30.8 Ge:12.8,Ceramic method,,1048.15,0.9909383091008052,3.4789125510419168,1.8221744643651023,0.7171973860452621
56,As:41.1 V:25.5 Ge:19.1 Mo:11.1 Rh:3.2,Physical mixing,,1023.0,0.9758131476331882,1.0130000114440918,0.24,0.7087414183658769
57,Si:40.6 C:32.2 Ge:27.2,Ceramic method,,1048.15,1.4886543088443611,1.0,0.010608,0.7083996665723271
58,Re:62.3 Ge:26.4 Cr:11.3,Ceramic method,,1048.0,0.6,1.0,0.6,0.7041254856779566
59,Re:60.6 Ca:22.5 Ge:16.8,Ceramic method,,1023.0,1.138756649419005,1.0130000114440918,0.24,0.7040074486977579
60,Ca:52.7 C:36.0 Ge:11.3,Ceramic method,,1048.7481405539909,1.8306460146336063,2.726767222201988,8.7,0.7013227864916379
61,Re:43.9 Ge:30.6 Al:25.5,Ceramic method,,1053.0,1.99439210013262,1.036709967400928,1.0,0.6982505002076274
62,Ge:57.0 Ba:23.5 F:19.5,Ceramic method,,1048.15,2.058811316020813,1.0,0.6,0.6929452639638469
63,C:59.6 Ge:13.8 Nb:11.1 Mo:8.7 Sc:6.7,Physical mixing,,1021.5758994678689,0.4690714610948104,4.6492653437359035,0.07200000000000001,0.6678681496432629
64,Sc:53.5 Cu:24.9 Ge:6.9 As:6.2 Si:5.8 Co:2.7,Physical mixing,,1023.0,2.0303030014038086,1.0130000114440918,0.16,0.6398974875669441
65,C:45.4 Si:26.5 Ge:20.6 Co:3.5 Br:3.3 B:0.7,Physical mixing,,1037.381881707142,1.547278247994338,2.987582192363297,0.010608,0.6121305593839697
66,Dy:53.7 Re:46.3,Microemulsion,,1133.614838759087,4.052304236346735,3.2032554632321943,0.07,0.5987099505838926
67,As:74.0 Sc:7.7 B:7.0 Ge:5.9 Co:3.4 C:2.0,Physical mixing,,1021.3469588169943,1.4171296893867218,1.474448047652991,0.07,0.5911694363470226
68,C:61.0 Si:21.1 Ge:17.9,Ceramic method,,1053.15,2.0,1.0,0.5454545454545454,0.5899372514188346
69,Mg:56.8 C:43.2,Therm.decomp.,,1113.15,4.0,2.718758729948262,0.0435584,0.5463875820441977
70,Mo:80.6 Mg:19.4,SPS,,1123.15,4.0,1.968483122659695,0.024,0.5155092106423584
71,Ge:53.4 Si:46.6,Ceramic method,,1105.15,4.004461692401569,2.126381308320411,0.06405450948661122,0.4442004185183839
72,C:55.6 Si:21.7 Mo:9.1 As:7.7 Ge:5.9,Physical mixing,,1039.3644261620898,2.0528444639838943,1.503022943694631,0.07200000000000001,0.430634645029639
73,Re:71.5 Nb:13.8 Al:9.8 Ti:2.2 Pt:2.0 B:0.7,Physical mixing,,1004.2375075456875,1.6915081344005798,1.01325,0.5142857142857142,0.410138473561612
74,Ge:52.3 C:47.7,Ceramic method,,1123.0,4.0,2.997814678168428,0.02365890601198897,0.4099297617352096
75,Hf:82.0 Ge:11.3 Si:3.3 As:1.8 Co:1.0 Sc:0.5 W:0.0 Os:0.0,Physical mixing,,1013.15,0.6607553147850009,4.66058004454845,2.0454545454545454,0.40375246789113
76,Si:52.5 C:40.3 Ge:7.2,Ceramic method,,1020.685310801445,1.8743885493426888,1.0,0.010608,0.3722596162861132
77,Ir:50.8 Si:18.0 Ge:14.4 S:8.6 Ni:7.0 Cd:1.0 Mo:0.1 W:0.1,Physical mixing,,1044.5160203204969,1.9719010190917503,2.1051036830887284,0.03840245775729647,0.32786844797987325
78,C:64.8 Mo:13.8 Nb:10.2 Y:8.0 Ge:3.2,Physical mixing,,973.15,1.19030844926174,2.4084600161424903,1.8391829483946545,0.2826452624878484
79,W:81.0 C:19.0,Electrospining,,823.15,4.0,1.249382158189628,0.010608,0.028478835480237275
